Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 2:5:29.980	-0.0073	-0.001	0.9985	0.0	0.0	0.0	0.308	0.555	7.339	29.9	None	None	None	None	None	None	None	0.99789	-0.00037	0.00391	0.064
 2000-0-0 2:5:29.980	-0.0073	-0.001	0.9985	0.0	0.0	0.0	0.308	0.555	7.339	29.9	None	None	None	None	None	None	None	0.99789	-0.00037	0.00391	0.064
 2000-0-0 2:5:29.980	-0.0073	-0.001	0.9985	0.0	0.0	0.0	0.308	0.555	7.339	29.9	None	None	None	None	None	None	None	0.99789	-0.00037	0.00391	0.064
 2000-0-0 2:5:29.980	-0.0073	-0.001	0.9985	0.0	0.0	0.0	0.308	0.555	7.339	29.9	None	None	None	None	None	None	None	0.99789	-0.0004	0.00391	0.064
 2000-0-0 2:5:29.980	-0.0068	-0.0015	0.999	0.0	0.0	0.0	0.308	0.555	7.339	29.89	None	None	None	None	None	None	None	0.99789	-0.0004	0.00388	0.064
 2000-0-0 2:5:29.980	-0.0068	-0.0015	0.999	0.0	0.0	0.0	0.302	0.549	7.339	29.89	None	None	None	None	None	None	None	0.99789	-0.0004	0.00388	0.064
 2000-0-0 2:5:29.980	-0.0068	-0.0005	0.9985	0.0	0.0	0.0	0.302	0.549	7.339	29.87	None	None	None	None	None	None	None	0.99789	-0.00043	0.00388	0.064
 2000-0-0 2:5:29.980	-0.0068	-0.0005	0.9985	0.0	0.0	0.0	0.302	0.549	7.339	29.87	None	None	None	None	None	None	None	0.99789	-0.00043	0.00388	0.064
 2000-0-0 2:5:30.440	-0.0078	-0.0015	0.9985	0.0	0.0	0.0	0.297	0.549	7.339	29.86	None	None	None	None	None	None	None	0.99789	-0.00046	0.00388	0.064
 2000-0-0 2:5:30.440	-0.0078	-0.0015	0.9985	0.0	0.0	0.0	0.297	0.549	7.339	29.86	None	None	None	None	None	None	None	0.99789	-0.00046	0.00388	0.064
 2000-0-0 2:5:30.440	-0.0078	-0.0015	0.9985	0.0	0.0	0.0	0.297	0.549	7.339	29.86	None	None	None	None	None	None	None	0.99789	-0.00046	0.00388	0.064
 2000-0-0 2:5:30.440	-0.0078	-0.0015	0.9985	0.0	0.0	0.0	0.297	0.549	7.339	29.86	None	None	None	None	None	None	None	0.99789	-0.00046	0.00388	0.064
 2000-0-0 2:5:30.540	-0.0078	-0.0015	0.9985	0.0	0.0	0.0	0.297	0.549	7.339	29.9	None	None	None	None	None	None	None	0.99789	-0.00046	0.00388	0.064
 2000-0-0 2:5:30.540	-0.0078	-0.0015	0.9985	0.0	0.0	0.0	0.291	0.549	7.339	29.9	None	None	None	None	None	None	None	0.99789	-0.00049	0.00388	0.064
