Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:29:45.180	-0.106	-0.2754	0.9531	0.0	0.0	0.0	-15.787	6.218	1.653	31.44	None	None	None	None	None	None	None	0.98846	-0.14062	0.05075	0.02176
 2000-0-0 0:29:45.200	-0.106	-0.2754	0.9526	0.0	0.0	0.0	-15.787	6.218	1.653	31.44	None	None	None	None	None	None	None	0.98846	-0.14062	0.05075	0.02176
 2000-0-0 0:29:45.220	-0.1069	-0.2754	0.9536	0.0	0.0	0.0	-15.787	6.218	1.653	31.42	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.240	-0.1055	-0.2754	0.9526	0.0	0.0	0.0	-15.787	6.218	1.653	31.44	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.260	-0.106	-0.2749	0.9531	0.0	0.0	0.0	-15.787	6.218	1.653	31.46	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.280	-0.1055	-0.2749	0.9536	0.0	0.0	0.0	-15.787	6.218	1.653	31.41	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.300	-0.106	-0.2749	0.9531	0.0	0.0	0.0	-15.787	6.218	1.653	31.45	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.320	-0.106	-0.2749	0.9531	0.0	0.0	0.0	-15.787	6.213	1.653	31.43	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.340	-0.1064	-0.2759	0.9536	0.0	0.0	0.0	-15.787	6.213	1.653	31.45	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.360	-0.1064	-0.2749	0.9531	0.0	0.0	0.0	-15.787	6.213	1.653	31.44	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.380	-0.106	-0.2749	0.9531	0.0	0.0	0.0	-15.787	6.213	1.653	31.46	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.400	-0.106	-0.2749	0.9531	0.0	0.0	0.0	-15.787	6.213	1.653	31.46	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.420	-0.106	-0.2744	0.9536	0.0	0.0	0.0	-15.787	6.213	1.653	31.44	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.440	-0.106	-0.2754	0.9531	0.0	0.0	0.0	-15.787	6.213	1.653	31.42	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.460	-0.106	-0.2754	0.9526	0.0	0.0	0.0	-15.787	6.213	1.653	31.43	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.480	-0.106	-0.2749	0.9536	0.0	0.0	0.0	-15.787	6.213	1.653	31.46	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.500	-0.106	-0.2749	0.9531	0.0	0.0	0.0	-15.787	6.213	1.653	31.45	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.520	-0.106	-0.2754	0.9526	0.0	0.0	0.0	-15.787	6.213	1.653	31.46	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.540	-0.106	-0.2754	0.9536	0.0	0.0	0.0	-15.787	6.213	1.653	31.43	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.560	-0.106	-0.2749	0.9526	0.0	0.0	0.0	-15.787	6.213	1.653	31.46	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
 2000-0-0 0:29:45.580	-0.1055	-0.2754	0.9531	0.0	0.0	0.0	-15.787	6.213	1.653	31.44	None	None	None	None	None	None	None	0.98846	-0.14066	0.05075	0.02176
