Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:1:8.80	-0.0181	-0.0161	0.998	0.0	0.0	0.0	-0.599	1.044	0.615	29.64	None	None	None	None	None	None	None	0.99988	-0.00806	0.00815	0.00546
 2000-0-0 0:1:8.100	-0.0176	-0.0161	0.9985	0.0	0.0	0.0	-0.599	1.044	0.615	29.63	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.120	-0.0166	-0.0161	0.9985	0.0	0.0	0.0	-0.599	1.044	0.615	29.64	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.140	-0.0151	-0.0156	0.9985	0.0	0.0	0.0	-0.599	1.044	0.615	29.64	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.160	-0.0151	-0.0156	0.999	0.0	0.0	0.0	-0.599	1.044	0.615	29.64	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.180	-0.0156	-0.0156	0.9985	0.0	0.0	0.0	-0.599	1.044	0.615	29.64	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.200	-0.0171	-0.0156	0.9985	0.0	0.0	0.0	-0.599	1.044	0.615	29.65	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.220	-0.019	-0.0156	0.998	0.0	0.0	0.0	-0.599	1.044	0.615	29.68	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.240	-0.0186	-0.0161	0.9985	0.0	0.0	0.0	-0.599	1.044	0.615	29.65	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.260	-0.0171	-0.0166	0.998	0.0	0.0	0.0	-0.599	1.044	0.615	29.66	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.280	-0.0156	-0.0161	0.999	0.0	0.0	0.0	-0.599	1.049	0.615	29.64	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
 2000-0-0 0:1:8.300	-0.0151	-0.0161	0.9995	0.0	0.0	0.0	-0.599	1.049	0.615	29.65	None	None	None	None	None	None	None	0.99988	-0.00806	0.00818	0.00546
