Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:29:50.100	-0.1636	0.0103	0.9863	0.0	0.0	0.0	1.005	9.651	28.564	27.79	None	None	None	None	None	None	None	0.96579	-0.01471	0.08212	0.24536
 2000-0-0 0:29:50.120	-0.1655	0.0103	0.9858	0.0	0.061	0.0	1.005	9.651	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01471	0.08212	0.24536
 2000-0-0 0:29:50.140	-0.166	0.0122	0.9824	0.0	0.061	0.0	1.005	9.657	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.160	-0.167	0.0122	0.9829	0.0	0.0	0.0	1.005	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.180	-0.167	0.0117	0.9854	0.0	0.0	0.0	1.005	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.200	-0.165	0.0117	0.9844	0.0	-0.061	0.0	1.005	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.220	-0.1631	0.0122	0.9844	0.0	0.0	0.0	1.005	9.651	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.240	-0.1631	0.0122	0.9854	0.0	0.0	0.0	1.005	9.651	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.260	-0.165	0.0117	0.9854	0.0	0.061	0.0	1.005	9.657	28.564	27.79	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.280	-0.166	0.0107	0.9834	0.0	0.0	0.0	1.005	9.657	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.300	-0.1655	0.0107	0.9844	0.0	0.0	0.0	1.005	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.320	-0.1665	0.0107	0.9854	0.0	0.0	0.0	1.005	9.657	28.564	27.8	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.340	-0.166	0.0112	0.9844	0.0	0.0	0.0	1.005	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.360	-0.165	0.0127	0.9839	0.0	0.0	0.0	1.005	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.380	-0.1641	0.0122	0.9844	0.0	0.0	0.0	1.005	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.400	-0.1641	0.0127	0.9854	0.0	0.0	0.0	1.005	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.420	-0.1655	0.0122	0.9844	0.0	0.061	0.0	1.005	9.657	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.440	-0.166	0.0127	0.9829	0.0	0.0	0.0	1.005	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.460	-0.166	0.0122	0.9839	0.0	0.0	0.0	1.005	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.480	-0.166	0.0098	0.9854	0.0	-0.061	0.0	1.005	9.657	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.500	-0.1655	0.0093	0.9849	0.0	-0.061	0.0	1.005	9.651	28.564	27.8	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.520	-0.1636	0.0098	0.9839	0.0	0.0	0.0	1.005	9.651	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.540	-0.1641	0.0103	0.9858	0.0	0.0	0.0	1.005	9.651	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01471	0.08215	0.24536
 2000-0-0 0:29:50.560	-0.1655	0.0112	0.9854	0.0	0.061	0.0	1.005	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.580	-0.1665	0.0127	0.9829	0.0	0.061	0.0	1.005	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.600	-0.1665	0.0137	0.9824	0.0	0.0	0.0	1.005	9.657	28.564	27.8	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.620	-0.1665	0.0132	0.9849	0.0	0.0	0.0	1.005	9.657	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.640	-0.1641	0.0122	0.9849	0.0	-0.061	0.0	1.005	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.660	-0.1641	0.0112	0.9849	0.0	-0.061	0.0	1.005	9.651	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:50.680	-0.1641	0.0103	0.9849	0.0	0.0	0.0	1.005	9.651	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:50.700	-0.165	0.0098	0.9854	0.0	0.061	0.0	1.005	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.720	-0.1665	0.0103	0.9839	0.0	0.0	0.0	1.005	9.657	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.740	-0.167	0.0107	0.9834	0.0	0.0	0.0	1.0	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.760	-0.166	0.0127	0.9844	0.0	0.0	0.0	1.0	9.657	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.780	-0.1655	0.0127	0.9844	0.0	0.0	0.0	1.0	9.657	28.564	27.86	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.800	-0.1636	0.0127	0.9844	0.0	-0.061	0.0	1.0	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.820	-0.165	0.0117	0.9849	0.0	0.0	0.0	1.0	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.840	-0.1665	0.0112	0.9844	0.0	0.061	0.0	1.0	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.860	-0.167	0.0112	0.9824	0.0	0.0	0.0	1.0	9.657	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.880	-0.1665	0.0103	0.9839	0.0	0.0	0.0	1.0	9.657	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08218	0.24536
 2000-0-0 0:29:50.900	-0.1655	0.0103	0.9854	0.0	-0.061	0.0	1.0	9.657	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.920	-0.1646	0.0107	0.9849	0.0	0.0	0.0	1.0	9.651	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:50.940	-0.1636	0.0117	0.9854	0.0	0.0	0.0	1.0	9.651	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:50.960	-0.165	0.0132	0.9839	0.0	0.061	0.0	1.0	9.651	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:50.980	-0.1655	0.0127	0.9839	0.0	0.0	0.0	1.0	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.0	-0.1665	0.0127	0.9834	0.0	0.0	0.0	1.0	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.20	-0.1655	0.0122	0.9839	0.0	0.0	0.0	1.0	9.657	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.40	-0.1655	0.0112	0.9849	0.0	0.0	0.0	1.0	9.657	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.60	-0.1646	0.0103	0.9849	0.0	0.0	0.0	1.0	9.657	28.564	27.8	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.80	-0.1641	0.0103	0.9844	0.0	0.0	0.0	1.0	9.657	28.564	27.8	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.100	-0.1641	0.0107	0.9854	0.0	0.0	0.0	1.0	9.657	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.120	-0.1655	0.0112	0.9834	0.0	0.0	0.0	1.0	9.651	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.140	-0.1655	0.0122	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08215	0.24536
 2000-0-0 0:29:51.160	-0.166	0.0127	0.9849	0.0	0.0	0.0	1.0	9.651	28.564	27.8	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.180	-0.165	0.0127	0.9839	0.0	0.0	0.0	1.0	9.651	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.200	-0.1646	0.0127	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.8	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.220	-0.165	0.0117	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.83	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.240	-0.1641	0.0112	0.9854	0.0	0.0	0.0	1.0	9.651	28.564	27.78	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.260	-0.166	0.0112	0.9839	0.0	0.0	0.0	1.0	9.651	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.280	-0.1655	0.0107	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.300	-0.166	0.0117	0.9824	0.0	0.0	0.0	1.0	9.651	28.564	27.78	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.320	-0.1655	0.0112	0.9854	0.0	0.0	0.0	1.0	9.651	28.564	27.8	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.340	-0.166	0.0117	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.360	-0.165	0.0127	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.380	-0.1641	0.0127	0.9849	0.0	0.0	0.0	1.0	9.651	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.400	-0.165	0.0112	0.9849	0.0	0.0	0.0	1.0	9.651	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.420	-0.165	0.0112	0.9849	0.0	0.0	0.0	1.0	9.651	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.440	-0.165	0.0107	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.460	-0.1665	0.0107	0.9839	0.0	0.0	0.0	1.0	9.651	28.564	27.85	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.480	-0.1665	0.0112	0.9849	0.0	0.0	0.0	1.0	9.651	28.564	27.79	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.500	-0.165	0.0112	0.9839	0.0	0.0	0.0	1.0	9.651	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.520	-0.1641	0.0117	0.9854	0.0	0.0	0.0	1.0	9.651	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.540	-0.165	0.0127	0.9839	0.0	0.0	0.0	1.0	9.651	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.560	-0.165	0.0127	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.82	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.580	-0.165	0.0117	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.600	-0.165	0.0112	0.9849	0.0	0.0	0.0	1.0	9.651	28.564	27.79	None	None	None	None	None	None	None	0.96579	-0.01474	0.08212	0.24536
 2000-0-0 0:29:51.620	-0.1655	0.0117	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.81	None	None	None	None	None	None	None	0.96579	-0.01474	0.08209	0.24536
 2000-0-0 0:29:51.640	-0.1665	0.0112	0.9834	0.0	0.0	0.0	1.0	9.651	28.564	27.84	None	None	None	None	None	None	None	0.96579	-0.01474	0.08209	0.24536
 2000-0-0 0:29:51.660	-0.165	0.0103	0.9844	0.0	0.0	0.0	1.0	9.651	28.564	27.77	None	None	None	None	None	None	None	0.96579	-0.01474	0.08209	0.24536
