Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 0:19:39.300	-0.6992	-0.1909	0.6885	0.0	0.0	0.0	-15.178	44.478	-14.008	28.26	None	None	None	None	None	None	None	0.91681	-0.07828	0.38663	-0.06134
 2000-0-0 0:19:39.320	-0.6997	-0.1919	0.6885	0.0	0.0	0.0	-15.178	44.478	-14.008	28.25	None	None	None	None	None	None	None	0.91681	-0.07828	0.38663	-0.06134
 2000-0-0 0:19:39.340	-0.6982	-0.1909	0.689	0.0	0.0	0.0	-15.178	44.478	-14.008	28.27	None	None	None	None	None	None	None	0.91681	-0.07828	0.38663	-0.06134
 2000-0-0 0:19:39.360	-0.6992	-0.1909	0.6885	0.0	0.0	0.0	-15.178	44.478	-14.008	28.26	None	None	None	None	None	None	None	0.91681	-0.07828	0.38663	-0.06134
 2000-0-0 0:19:39.380	-0.6997	-0.1909	0.6899	0.0	0.0	0.0	-15.178	44.478	-14.008	28.23	None	None	None	None	None	None	None	0.91681	-0.07828	0.38663	-0.06134
 2000-0-0 0:19:39.400	-0.6992	-0.1895	0.688	0.0	0.0	0.0	-15.178	44.478	-14.008	28.29	None	None	None	None	None	None	None	0.91681	-0.07828	0.38663	-0.06134
 2000-0-0 0:19:39.420	-0.6992	-0.189	0.688	0.0	0.0	0.0	-15.178	44.478	-14.008	28.27	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06134
 2000-0-0 0:19:39.440	-0.7002	-0.1899	0.6885	0.0	0.0	0.0	-15.178	44.478	-14.008	28.3	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06134
 2000-0-0 0:19:39.460	-0.6992	-0.1899	0.6885	0.0	0.0	0.0	-15.178	44.478	-14.008	28.27	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06134
 2000-0-0 0:19:39.480	-0.6992	-0.1909	0.689	0.0	0.0	0.0	-15.178	44.484	-14.008	28.25	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06134
 2000-0-0 0:19:39.500	-0.6992	-0.1909	0.6895	0.0	0.0	0.0	-15.178	44.484	-14.008	28.25	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06134
 2000-0-0 0:19:39.520	-0.6982	-0.1904	0.688	0.0	0.0	0.0	-15.178	44.484	-14.008	28.22	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06134
 2000-0-0 0:19:39.540	-0.6992	-0.1909	0.689	0.0	0.0	0.0	-15.178	44.484	-14.008	28.33	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06137
 2000-0-0 0:19:39.560	-0.6997	-0.1904	0.6885	0.0	0.0	0.0	-15.178	44.484	-14.008	28.25	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06137
 2000-0-0 0:19:39.580	-0.6987	-0.1895	0.688	0.0	0.0	0.0	-15.172	44.484	-14.008	28.29	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06137
 2000-0-0 0:19:39.600	-0.7002	-0.1895	0.689	0.0	0.0	0.0	-15.172	44.484	-14.008	28.33	None	None	None	None	None	None	None	0.91681	-0.07825	0.38663	-0.06137
 2000-0-0 0:19:39.620	-0.6997	-0.1899	0.689	0.0	0.0	0.0	-15.172	44.484	-14.008	28.25	None	None	None	None	None	None	None	0.91681	-0.07822	0.38663	-0.06137
 2000-0-0 0:19:39.640	-0.6987	-0.1904	0.6885	0.0	0.0	0.0	-15.172	44.484	-14.008	28.26	None	None	None	None	None	None	None	0.91681	-0.07822	0.38663	-0.06137
 2000-0-0 0:19:39.660	-0.6992	-0.1904	0.6895	0.0	0.0	0.0	-15.172	44.484	-14.008	28.27	None	None	None	None	None	None	None	0.91681	-0.07822	0.38663	-0.06137
 2000-0-0 0:19:39.680	-0.7002	-0.1909	0.688	0.0	0.0	0.0	-15.172	44.484	-14.008	28.23	None	None	None	None	None	None	None	0.91681	-0.07822	0.38663	-0.06137
 2000-0-0 0:19:39.700	-0.6997	-0.1899	0.6885	0.0	0.0	0.0	-15.172	44.484	-14.008	28.23	None	None	None	None	None	None	None	0.91681	-0.07822	0.38663	-0.06137
 2000-0-0 0:19:39.720	-0.6992	-0.1904	0.6885	0.0	0.0	0.0	-15.172	44.484	-14.008	28.29	None	None	None	None	None	None	None	0.91681	-0.07822	0.38663	-0.06137
 2000-0-0 0:19:39.740	-0.6992	-0.1904	0.6885	0.0	0.0	0.0	-15.172	44.484	-14.008	28.28	None	None	None	None	None	None	None	0.91681	-0.07822	0.38663	-0.06137
 2000-0-0 0:19:39.760	-0.6997	-0.1895	0.6895	0.0	0.0	0.0	-15.172	44.484	-14.008	28.26	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.780	-0.6992	-0.1899	0.689	0.0	0.0	0.0	-15.172	44.484	-14.008	28.26	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.800	-0.6992	-0.1904	0.6885	0.0	0.0	0.0	-15.167	44.484	-14.008	28.27	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.820	-0.6992	-0.1909	0.6885	0.0	0.0	0.0	-15.167	44.484	-14.008	28.27	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.840	-0.6997	-0.1909	0.6885	0.0	0.0	0.0	-15.167	44.484	-14.008	28.24	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.860	-0.6992	-0.1904	0.6885	0.0	0.0	0.0	-15.167	44.484	-14.008	28.23	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.880	-0.6997	-0.1904	0.6895	0.0	0.0	0.0	-15.167	44.484	-14.008	28.28	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.900	-0.6987	-0.1904	0.689	0.0	0.0	0.0	-15.167	44.484	-14.008	28.29	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.920	-0.6987	-0.1904	0.6895	0.0	0.0	0.0	-15.167	44.484	-14.008	28.27	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.940	-0.6997	-0.1899	0.689	0.0	0.0	0.0	-15.167	44.484	-14.008	28.26	None	None	None	None	None	None	None	0.91681	-0.07819	0.38663	-0.06137
 2000-0-0 0:19:39.960	-0.6992	-0.1899	0.688	0.0	0.0	0.0	-15.167	44.484	-14.008	28.24	None	None	None	None	None	None	None	0.91681	-0.07816	0.38663	-0.06137
 2000-0-0 0:19:39.980	-0.6992	-0.1899	0.689	0.0	0.0	0.0	-15.167	44.484	-14.008	28.26	None	None	None	None	None	None	None	0.91681	-0.07816	0.38663	-0.06137
 2000-0-0 0:19:40.0	-0.6997	-0.1904	0.6895	0.0	0.0	0.0	-15.167	44.484	-14.008	28.23	None	None	None	None	None	None	None	0.91681	-0.07816	0.38663	-0.0614
 2000-0-0 0:19:40.20	-0.6982	-0.1904	0.6885	0.0	0.0	0.0	-15.167	44.484	-14.008	28.28	None	None	None	None	None	None	None	0.91681	-0.07816	0.38663	-0.0614
 2000-0-0 0:19:40.40	-0.6992	-0.1904	0.6885	0.0	0.0	0.0	-15.167	44.484	-14.008	28.32	None	None	None	None	None	None	None	0.91681	-0.07816	0.38663	-0.0614
 2000-0-0 0:19:40.60	-0.6997	-0.1904	0.689	0.0	0.0	0.0	-15.167	44.484	-14.008	28.25	None	None	None	None	None	None	None	0.91681	-0.07816	0.38663	-0.0614
 2000-0-0 0:19:40.80	-0.6997	-0.1899	0.6885	0.0	0.0	0.0	-15.167	44.484	-14.008	28.29	None	None	None	None	None	None	None	0.91681	-0.07816	0.38663	-0.0614
