3.493501245975494385e-02,9.398321509361267090e-01,9.398321509361267090e-01,9.346238374710083008e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-5.988950729370117188e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,5.988950729370117188e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.493498265743255615e-02,-9.398321509361267090e-01,-9.398321509361267090e-01,-9.346238374710083008e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.187772825360298157e-01,9.584546089172363281e-01,9.584546089172363281e-01,9.152473807334899902e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-6.493207812309265137e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,6.493207812309265137e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.187772899866104126e-01,-9.584546089172363281e-01,-9.584546089172363281e-01,-9.152473807334899902e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.007154822349548340e-01,9.741814732551574707e-01,9.741814732551574707e-01,8.935431241989135742e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-6.972315907478332520e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,6.972315907478332520e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.007154524326324463e-01,-9.741808176040649414e-01,-9.741808176040649414e-01,-8.935431241989135742e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.803177535533905029e-01,9.869363903999328613e-01,9.869363903999328613e-01,8.694617748260498047e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-7.424380779266357422e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,7.424380779266357422e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.803177535533905029e-01,-9.869363307952880859e-01,-9.869363307952880859e-01,-8.694618344306945801e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.571921885013580322e-01,9.966581463813781738e-01,9.966581463813781738e-01,8.429718613624572754e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-7.847624421119689941e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,7.847624421119689941e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.571920990943908691e-01,-9.966581463813781738e-01,-9.966581463813781738e-01,-8.429718613624572754e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.309840202331542969e-01,1.003306984901428223e+00,1.003306984901428223e+00,8.140576481819152832e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-8.240396380424499512e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,8.240396380424499512e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.309839606285095215e-01,-1.003306984901428223e+00,-1.003306984901428223e+00,-8.140576481819152832e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.013744831085205078e-01,1.006897211074829102e+00,1.006897211074829102e+00,7.827165722846984863e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-8.601187467575073242e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,8.601187467575073242e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.013743042945861816e-01,-1.006897211074829102e+00,-1.006897211074829102e+00,-7.827165722846984863e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.680754780769348145e-01,1.006255149841308594e+00,1.006255149841308594e+00,7.489658594131469727e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-8.928583860397338867e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,8.928583860397338867e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.680758357048034668e-01,-1.006255149841308594e+00,-1.006255149841308594e+00,-7.489658594131469727e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.308328509330749512e-01,9.961326718330383301e-01,9.961326718330383301e-01,7.128353118896484375e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-9.221331477165222168e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,9.221331477165222168e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.308335661888122559e-01,-9.961326718330383301e-01,-9.961326718330383301e-01,-7.128353118896484375e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.894187927246093750e-01,9.754638671875000000e-01,9.754638671875000000e-01,6.743736267089843750e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-9.478328227996826172e-01,1.377718057483434677e-02,1.377718057483434677e-02,9.478328227996826172e-01,-1.377718057483434677e-02,-1.377718057483434677e-02,-6.894186735153198242e-01,-9.754638671875000000e-01,-9.754638671875000000e-01,-6.743736267089843750e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.436362504959106445e-01,9.445202946662902832e-01,9.445202946662902832e-01,6.336416602134704590e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-9.698573946952819824e-01,6.268268823623657227e-02,6.268268823623657227e-02,9.698573946952819824e-01,-6.268268823623657227e-02,-6.268268823623657227e-02,-7.436362504959106445e-01,-9.445201754570007324e-01,-9.445201754570007324e-01,-6.336416602134704590e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.933138608932495117e-01,9.036715030670166016e-01,9.036715030670166016e-01,5.907180905342102051e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-9.881242513656616211e-01,1.115779280662536621e-01,1.115779280662536621e-01,9.881242513656616211e-01,-1.115779280662536621e-01,-1.115779280662536621e-01,-7.933133840560913086e-01,-9.036712050437927246e-01,-9.036712050437927246e-01,-5.907180905342102051e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.383058309555053711e-01,8.533934950828552246e-01,8.533934950828552246e-01,5.456918478012084961e-01,-0.000000000000000000e+00,-0.000000000000000000e+00,-1.002564430236816406e+00,1.603438556194305420e-01,1.603438556194305420e-01,1.002564430236816406e+00,-1.603438556194305420e-01,-1.603438556194305420e-01,-8.383051156997680664e-01,-8.533928394317626953e-01,-8.533928394317626953e-01,-5.456918478012084961e-01,0.000000000000000000e+00,0.000000000000000000e+00
